dataset,path,system,metric,n,point,ci_low,ci_high,samples
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,always_full,success,1000,0.94,0.925,0.954,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,always_full,predicted_cost,1000,16.0,16.0,16.0,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,always_full,over_harness,1000,0.94,0.925,0.955,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,always_full,under_harness,1000,0.0,0.0,0.0,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,always_full,wrong_harness,1000,0.0,0.0,0.0,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,difficulty_router,success,1000,0.435,0.405,0.467,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,difficulty_router,predicted_cost,1000,3.459,3.139975,3.78205,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,difficulty_router,over_harness,1000,0.283,0.255,0.31,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,difficulty_router,under_harness,1000,0.505,0.475975,0.535,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,difficulty_router,wrong_harness,1000,0.16,0.137,0.184,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,direct,success,1000,0.2,0.175,0.226,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,direct,predicted_cost,1000,0.0,0.0,0.0,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,direct,over_harness,1000,0.0,0.0,0.0,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,direct,under_harness,1000,0.74,0.711,0.7660249999999998,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,direct,wrong_harness,1000,0.0,0.0,0.0,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,gapharness,success,1000,1.0,1.0,1.0,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,gapharness,predicted_cost,1000,3.673,3.474975,3.8710749999999994,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,gapharness,over_harness,1000,0.0,0.0,0.0,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,gapharness,under_harness,1000,0.0,0.0,0.0,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,gapharness,wrong_harness,1000,0.0,0.0,0.0,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,oracle_minimal,success,1000,1.0,1.0,1.0,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,oracle_minimal,predicted_cost,1000,3.673,3.465,3.878025,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,oracle_minimal,over_harness,1000,0.0,0.0,0.0,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,oracle_minimal,under_harness,1000,0.0,0.0,0.0,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,oracle_minimal,wrong_harness,1000,0.0,0.0,0.0,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,tool_router,success,1000,0.339,0.31,0.366,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,tool_router,predicted_cost,1000,2.103,1.9549500000000002,2.257025,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,tool_router,over_harness,1000,0.107,0.089,0.126,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,tool_router,under_harness,1000,0.601,0.57,0.63,2000
gapbench1000_gold,outputs/final/results_gapbench1000_all_gold.jsonl,tool_router,wrong_harness,1000,0.416,0.385,0.4480249999999999,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,always_full,success,800,0.94,0.92375,0.95625,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,always_full,predicted_cost,800,16.0,16.0,16.0,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,always_full,over_harness,800,0.94,0.9225,0.95625,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,always_full,under_harness,800,0.0,0.0,0.0,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,always_full,wrong_harness,800,0.0,0.0,0.0,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,difficulty_router,success,800,0.41,0.3775,0.445,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,difficulty_router,predicted_cost,800,3.21625,2.86875,3.5875312499999996,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,difficulty_router,over_harness,800,0.25875,0.23,0.29,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,difficulty_router,under_harness,800,0.53,0.49625,0.5662812499999998,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,difficulty_router,wrong_harness,800,0.15375,0.13,0.1775,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,direct,success,800,0.2,0.1725,0.22875,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,direct,predicted_cost,800,0.0,0.0,0.0,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,direct,over_harness,800,0.0,0.0,0.0,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,direct,under_harness,800,0.74,0.71,0.77125,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,direct,wrong_harness,800,0.0,0.0,0.0,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,gold_oracle_gap_harness,success,800,1.0,1.0,1.0,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,gold_oracle_gap_harness,predicted_cost,800,3.68625,3.46246875,3.92628125,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,gold_oracle_gap_harness,over_harness,800,0.0,0.0,0.0,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,gold_oracle_gap_harness,under_harness,800,0.0,0.0,0.0,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,gold_oracle_gap_harness,wrong_harness,800,0.0,0.0,0.0,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,oracle_minimal,success,800,1.0,1.0,1.0,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,oracle_minimal,predicted_cost,800,3.68625,3.4537187499999997,3.9176249999999992,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,oracle_minimal,over_harness,800,0.0,0.0,0.0,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,oracle_minimal,under_harness,800,0.0,0.0,0.0,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,oracle_minimal,wrong_harness,800,0.0,0.0,0.0,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,selected_llm_gap_harness,success,800,0.88875,0.865,0.91,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,selected_llm_gap_harness,predicted_cost,800,3.5925,3.3625,3.8312812499999995,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,selected_llm_gap_harness,over_harness,800,0.145,0.12,0.17,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,selected_llm_gap_harness,under_harness,800,0.08875,0.07,0.10875,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,selected_llm_gap_harness,wrong_harness,800,0.005,0.00125,0.01,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,tool_router,success,800,0.315,0.28371874999999996,0.34625,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,tool_router,predicted_cost,800,1.96375,1.8025,2.12875,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,tool_router,over_harness,800,0.09375,0.07375,0.11375,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,tool_router,under_harness,800,0.625,0.5924687500000001,0.6587812499999998,2000
test800_llm,outputs/final/phase2b/results_test800_heldout_with_selected_llm.jsonl,tool_router,wrong_harness,800,0.42625,0.3925,0.4625,2000
test800_registry_guarded,outputs/final/phase2c/test800_registry_guarded/results_test800_llm_registry_guarded.jsonl,phase2c_registry_guarded_gap_harness,success,800,0.94375,0.9275,0.96,2000
test800_registry_guarded,outputs/final/phase2c/test800_registry_guarded/results_test800_llm_registry_guarded.jsonl,phase2c_registry_guarded_gap_harness,predicted_cost,800,3.985,3.7525,4.22753125,2000
test800_registry_guarded,outputs/final/phase2c/test800_registry_guarded/results_test800_llm_registry_guarded.jsonl,phase2c_registry_guarded_gap_harness,over_harness,800,0.1525,0.12875,0.1775,2000
test800_registry_guarded,outputs/final/phase2c/test800_registry_guarded/results_test800_llm_registry_guarded.jsonl,phase2c_registry_guarded_gap_harness,under_harness,800,0.03375,0.02125,0.04625,2000
test800_registry_guarded,outputs/final/phase2c/test800_registry_guarded/results_test800_llm_registry_guarded.jsonl,phase2c_registry_guarded_gap_harness,wrong_harness,800,0.005,0.00125,0.01,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,always_full,success,200,0.75,0.685,0.81,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,always_full,predicted_cost,200,16.0,16.0,16.0,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,always_full,cost_delta,200,12.525,11.894874999999999,13.145124999999998,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,always_full,excess_cost,200,12.525,11.89,13.155,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,always_full,over_harness,200,0.75,0.69,0.8051249999999994,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,always_full,under_harness,200,0.0,0.0,0.0,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,always_full,wrong_harness,200,0.0,0.0,0.0,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,difficulty_router,success,200,0.325,0.26,0.39,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,difficulty_router,predicted_cost,200,4.645,3.924875,5.405125,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,difficulty_router,cost_delta,200,1.17,0.26,2.04,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,difficulty_router,excess_cost,200,2.845,2.2048750000000004,3.505124999999999,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,difficulty_router,over_harness,200,0.325,0.26,0.395,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,difficulty_router,under_harness,200,0.425,0.36,0.495,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,difficulty_router,wrong_harness,200,0.215,0.16,0.27012499999999934,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,direct,success,200,0.285,0.225,0.3451249999999993,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,direct,predicted_cost,200,0.0,0.0,0.0,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,direct,cost_delta,200,-3.475,-4.105,-2.875,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,direct,excess_cost,200,0.0,0.0,0.0,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,direct,over_harness,200,0.0,0.0,0.0,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,direct,under_harness,200,0.465,0.395,0.535,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,direct,wrong_harness,200,0.0,0.0,0.0,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,gapharness,success,200,1.0,1.0,1.0,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,gapharness,predicted_cost,200,3.475,2.85975,4.130249999999998,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,gapharness,cost_delta,200,0.0,0.0,0.0,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,gapharness,excess_cost,200,0.0,0.0,0.0,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,gapharness,over_harness,200,0.0,0.0,0.0,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,gapharness,under_harness,200,0.0,0.0,0.0,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,gapharness,wrong_harness,200,0.0,0.0,0.0,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,oracle_minimal,success,200,1.0,1.0,1.0,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,oracle_minimal,predicted_cost,200,3.475,2.85975,4.1,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,oracle_minimal,cost_delta,200,0.0,0.0,0.0,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,oracle_minimal,excess_cost,200,0.0,0.0,0.0,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,oracle_minimal,over_harness,200,0.0,0.0,0.0,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,oracle_minimal,under_harness,200,0.0,0.0,0.0,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,oracle_minimal,wrong_harness,200,0.0,0.0,0.0,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,tool_router,success,200,0.29,0.23,0.355,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,tool_router,predicted_cost,200,2.605,2.295,2.925124999999999,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,tool_router,cost_delta,200,-0.87,-1.41,-0.3348750000000007,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,tool_router,excess_cost,200,1.205,1.0,1.4101249999999992,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,tool_router,over_harness,200,0.29,0.225,0.3501249999999993,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,tool_router,under_harness,200,0.46,0.39,0.525,2000
harness_challenge_gold,outputs/final/results_harness_challenge200_author_reviewed_gold.jsonl,tool_router,wrong_harness,200,0.31,0.249875,0.375,2000
harness_challenge_llm,outputs/final/harness_challenge200_llm/results_dev200_llm_single.jsonl,gapharness,success,200,0.695,0.63,0.7551249999999994,2000
harness_challenge_llm,outputs/final/harness_challenge200_llm/results_dev200_llm_single.jsonl,gapharness,predicted_cost,200,3.92,3.28,4.55,2000
harness_challenge_llm,outputs/final/harness_challenge200_llm/results_dev200_llm_single.jsonl,gapharness,cost_delta,200,0.445,0.045,0.875,2000
harness_challenge_llm,outputs/final/harness_challenge200_llm/results_dev200_llm_single.jsonl,gapharness,excess_cost,200,0.965,0.685,1.255,2000
harness_challenge_llm,outputs/final/harness_challenge200_llm/results_dev200_llm_single.jsonl,gapharness,over_harness,200,0.05,0.02,0.08,2000
harness_challenge_llm,outputs/final/harness_challenge200_llm/results_dev200_llm_single.jsonl,gapharness,under_harness,200,0.155,0.105,0.205,2000
harness_challenge_llm,outputs/final/harness_challenge200_llm/results_dev200_llm_single.jsonl,gapharness,wrong_harness,200,0.11,0.07,0.155,2000
harness_challenge_guarded,outputs/final/harness_challenge200_registry_guarded/results_dev200_llm_registry_guarded.jsonl,gapharness,success,200,0.595,0.52,0.665,2000
harness_challenge_guarded,outputs/final/harness_challenge200_registry_guarded/results_dev200_llm_registry_guarded.jsonl,gapharness,predicted_cost,200,4.82,4.209875,5.425,2000
harness_challenge_guarded,outputs/final/harness_challenge200_registry_guarded/results_dev200_llm_registry_guarded.jsonl,gapharness,cost_delta,200,1.345,0.8298749999999999,1.915,2000
harness_challenge_guarded,outputs/final/harness_challenge200_registry_guarded/results_dev200_llm_registry_guarded.jsonl,gapharness,excess_cost,200,1.865,1.45,2.300124999999999,2000
harness_challenge_guarded,outputs/final/harness_challenge200_registry_guarded/results_dev200_llm_registry_guarded.jsonl,gapharness,over_harness,200,0.05,0.02,0.085,2000
harness_challenge_guarded,outputs/final/harness_challenge200_registry_guarded/results_dev200_llm_registry_guarded.jsonl,gapharness,under_harness,200,0.155,0.105,0.21,2000
harness_challenge_guarded,outputs/final/harness_challenge200_registry_guarded/results_dev200_llm_registry_guarded.jsonl,gapharness,wrong_harness,200,0.11,0.07,0.155,2000
harness_challenge_router,outputs/phase4/llm_tool_router_harness_challenge200/results_llm_tool_router.jsonl,llm_tool_router,success,200,0.645,0.58,0.71,2000
harness_challenge_router,outputs/phase4/llm_tool_router_harness_challenge200/results_llm_tool_router.jsonl,llm_tool_router,predicted_cost,200,2.595,2.09,3.130124999999999,2000
harness_challenge_router,outputs/phase4/llm_tool_router_harness_challenge200/results_llm_tool_router.jsonl,llm_tool_router,cost_delta,200,-0.88,-1.2,-0.58,2000
harness_challenge_router,outputs/phase4/llm_tool_router_harness_challenge200/results_llm_tool_router.jsonl,llm_tool_router,excess_cost,200,0.04,0.0,0.1,2000
harness_challenge_router,outputs/phase4/llm_tool_router_harness_challenge200/results_llm_tool_router.jsonl,llm_tool_router,over_harness,200,0.01,0.0,0.025,2000
harness_challenge_router,outputs/phase4/llm_tool_router_harness_challenge200/results_llm_tool_router.jsonl,llm_tool_router,under_harness,200,0.355,0.29,0.425,2000
harness_challenge_router,outputs/phase4/llm_tool_router_harness_challenge200/results_llm_tool_router.jsonl,llm_tool_router,wrong_harness,200,0.28,0.22,0.34012499999999934,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,always_full,success,20,1.0,1.0,1.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,always_full,predicted_cost,20,16.0,16.0,16.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,always_full,cost_delta,20,4.0,4.0,4.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,always_full,excess_cost,20,4.0,4.0,4.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,always_full,over_harness,20,1.0,1.0,1.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,always_full,under_harness,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,always_full,wrong_harness,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,always_full,trace_success,20,1.0,1.0,1.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,always_full,pre_test_failed,20,1.0,1.0,1.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,always_full,post_test_passed,20,1.0,1.0,1.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,always_full,missing_required_modules,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,difficulty_router,success,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,difficulty_router,predicted_cost,20,6.0,6.0,6.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,difficulty_router,cost_delta,20,-6.0,-6.0,-6.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,difficulty_router,excess_cost,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,difficulty_router,over_harness,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,difficulty_router,under_harness,20,1.0,1.0,1.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,difficulty_router,wrong_harness,20,1.0,1.0,1.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,difficulty_router,trace_success,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,difficulty_router,pre_test_failed,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,difficulty_router,post_test_passed,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,difficulty_router,missing_required_modules,20,1.0,1.0,1.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,direct,success,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,direct,predicted_cost,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,direct,cost_delta,20,-12.0,-12.0,-12.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,direct,excess_cost,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,direct,over_harness,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,direct,under_harness,20,1.0,1.0,1.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,direct,wrong_harness,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,direct,trace_success,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,direct,pre_test_failed,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,direct,post_test_passed,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,direct,missing_required_modules,20,1.0,1.0,1.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,gapharness,success,20,1.0,1.0,1.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,gapharness,predicted_cost,20,12.0,12.0,12.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,gapharness,cost_delta,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,gapharness,excess_cost,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,gapharness,over_harness,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,gapharness,under_harness,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,gapharness,wrong_harness,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,gapharness,trace_success,20,1.0,1.0,1.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,gapharness,pre_test_failed,20,1.0,1.0,1.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,gapharness,post_test_passed,20,1.0,1.0,1.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,gapharness,missing_required_modules,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,oracle_minimal,success,20,1.0,1.0,1.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,oracle_minimal,predicted_cost,20,12.0,12.0,12.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,oracle_minimal,cost_delta,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,oracle_minimal,excess_cost,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,oracle_minimal,over_harness,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,oracle_minimal,under_harness,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,oracle_minimal,wrong_harness,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,oracle_minimal,trace_success,20,1.0,1.0,1.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,oracle_minimal,pre_test_failed,20,1.0,1.0,1.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,oracle_minimal,post_test_passed,20,1.0,1.0,1.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,oracle_minimal,missing_required_modules,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,tool_router,success,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,tool_router,predicted_cost,20,4.0,4.0,4.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,tool_router,cost_delta,20,-8.0,-8.0,-8.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,tool_router,excess_cost,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,tool_router,over_harness,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,tool_router,under_harness,20,1.0,1.0,1.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,tool_router,wrong_harness,20,1.0,1.0,1.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,tool_router,trace_success,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,tool_router,pre_test_failed,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,tool_router,post_test_passed,20,0.0,0.0,0.0,2000
harness_exec20,outputs/final/harness_exec20/traces.jsonl,tool_router,missing_required_modules,20,1.0,1.0,1.0,2000
